nProcesso,agrupamento,anoLetivo,ano,escalao,dataNascimento,genero,nacionalidade,linguaMaterna,anoEscMae,distrito,class1P_ingles,class1P_ling_estrang,class1P_portugues,class1P_matematica,class1P_ed_fis,class1P_art_tecn,class1P_cienc_fis_nat,class1P_cienc_soc_huma,class1P_avg,class2P_ingles,class2P_ling_estrang,class2P_portugues,class2P_matematica,class2P_ed_fis,class2P_art_tecn,class2P_cienc_fis_nat,class2P_cienc_soc_huma,class2P_avg,class3P_ingles,class3P_ling_estrang,class3P_portugues,class3P_matematica,class3P_ed_fis,class3P_art_tecn,class3P_cienc_fis_nat,class3P_cienc_soc_huma,class3P_avg,negative_class_ratio_1P,negative_class_ratio_2P,negative_class_ratio_3P,negative_class_ratio_nuclear_1P,negative_class_ratio_not_nuclear_1P,negative_class_ratio_nuclear_2P,negative_class_ratio_not_nuclear_2P,negative_class_ratio_nuclear_3P,negative_class_ratio_not_nuclear_3P,nFaltas_J_total_ingles,nFaltas_J_total_ling_estrang,nFaltas_J_total_matematica,nFaltas_J_total_portugues,nFaltas_J_total_ed_fis,nFaltas_J_total_art_tecn,nFaltas_J_total_cienc_fis_nat,nFaltas_J_total_cienc_soc_huma,nFaltas_J_total,nFaltas_I_total_ingles,nFaltas_I_total_ling_estrang,nFaltas_I_total_matematica,nFaltas_I_total_portugues,nFaltas_I_total_ed_fis,nFaltas_I_total_art_tecn,nFaltas_I_total_cienc_fis_nat,nFaltas_I_total_cienc_soc_huma,nFaltas_I_total,nFaltas_total,per_miss_J_total_ingles,per_miss_J_total_ling_estrang,per_miss_J_total_matematica,per_miss_J_total_portugues,per_miss_J_total_ed_fis,per_miss_J_total_art_tecn,per_miss_J_total_cienc_fis_nat,per_miss_J_total_cienc_soc_huma,per_miss_J_total,per_miss_I_total_ingles,per_miss_I_total_ling_estrang,per_miss_I_total_matematica,per_miss_I_total_portugues,per_miss_I_total_ed_fis,per_miss_I_total_art_tecn,per_miss_I_total_cienc_fis_nat,per_miss_I_total_cienc_soc_huma,per_miss_I_total,per_miss_total,distrito_agrup,teip_agrup,baixa_densidade_agrup
1,A49,2017/2018,7,3,82019,Feminino,Portugal,Portugal,Licenciatura,Porto,2.0,3.0,4.0,3.0,5.0,3.0,3.5,3.0,3.95,2.0,2.0,3.0,2.0,4.0,2.0,3.0,3.0,2.9,3.0,4.0,3.0,1.0,5,4.5,2.0,4.0,3.15,0.2,0.1,0.09090909090909091,0.5,0.125,0.5,0.0,0.5,0.0,1.0,2.0,3.0,4.0,2.0,0.0,1.0,2.0,15.0,0.0,1.0,4.0,4.0,0.0,3.0,0.0,0.0,12.0,27.0,0.007978723404255319,0.024193548387096774,0.014423076923076924,0.019230769230769232,0.015957446808510637,0.0,0.004010695187165776,0.009615384615384616,0.09540964455625928,0.0,0.012096774193548387,0.019230769230769232,0.019230769230769232,0.0,0.023936170212765957,0.0,0.0,0.07449448286785282,0.1699041274241121,Porto,0,0
2,A49,2017/2018,7,1,21991,Feminino,Portugal,Portugal,Básico (3º ciclo),Porto,2.0,4.0,2.0,3.0,1.0,3.0,,,2.375,2.0,4.0,2.0,2.0,1.0,4.0,,,2.25,3.0,3.0,2.0,2.0,1.0,4.0,2.0,4.0,2.7,0.6666666666666666,0.6666666666666666,0.2727272727272727,1.0,0.5,1.0,0.5,0.5,0.2222222222222222,4.0,3.0,9.0,4.0,2.0,4.0,6.0,5.0,37.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,40.0,0.031914893617021274,0.036290322580645164,0.04326923076923077,0.019230769230769232,0.015957446808510637,0.031914893617021274,0.02406417112299465,0.02403846153846154,0.22668018928465455,0.007978723404255319,0.0,0.0,0.0,0.015957446808510637,0.0,0.0,0.0,0.023936170212765957,0.2506163594974205,Porto,0,0
3,A49,2017/2018,7,3,81977,Masculino,Portugal,Portugal,Básico (3º ciclo),Porto,3.0,4.0,2.0,4.0,3.0,5.0,3.5,2.5,3.6,3.0,3.0,4.0,4.0,4.0,5.0,2.0,4.5,2.55,4.0,3.0,2.0,2.0,4.0,4.0,2.0,4.5,3.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,0.0,0.0,0.0,2.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.007978723404255319,0.024193548387096774,0.019230769230769232,0.0,0.0,0.0,0.008021390374331552,0.019230769230769232,0.0786552006272221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0786552006272221,Porto,0,0
4,A49,2017/2018,7,1,71988,Feminino,Portugal,Portugal,Licenciatura,Porto,5.0,5,4.0,4.0,5.0,4.0,4.5,5,5,5,5.0,4.0,5.0,5.0,4.0,3.5,4.0,3.6500000000000004,5.0,4.0,5.0,5.0,5.0,3.5,5.0,5.0,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,8.0,1.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.015957446808510637,0.024193548387096774,0.009615384615384616,0.0,0.0,0.06382978723404255,0.004010695187165776,0.0,0.11760686223220035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11760686223220035,Porto,0,0
5,A49,2017/2018,7,1,112019,Masculino,Portugal,Portugal,Básico (3º ciclo),Porto,3.0,4.0,3.0,3.0,2.0,3.0,,,1.625,2.0,4.0,2.0,1.0,3.0,5.0,,,1.625,1.0,5.0,2.0,3.0,4.0,3.0,3.0,2.0,2.8,0.6666666666666666,0.5,0.2727272727272727,1.0,0.5,1.0,0.25,1.0,0.1111111111111111,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,0.007978723404255319,0.0,0.009615384615384616,0.0,0.0,0.0,0.0,0.004807692307692308,0.02240180032733224,0.0,0.0,0.0,0.0,0.0,0.0,0.004010695187165776,0.0,0.004010695187165776,0.026412495514498015,Porto,0,0
6,A49,2017/2018,7,1,101991,Masculino,Portugal,Portugal,Secundário,Porto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009615384615384616,0.0,0.0,0.012032085561497326,0.004807692307692308,0.02645516248457425,0.02645516248457425,Porto,0,0
7,A49,2017/2018,7,3,121980,Masculino,Portugal,Portugal,Básico (3º ciclo),Porto,4.0,3.0,2.0,3.0,5.0,3.0,3.0,2.5,3.45,3.0,5.0,2.0,3.0,5.0,2.6666666666666665,3.5,3.0,3.2166666666666663,4.0,4.0,3.0,1.0,5.0,5.0,3.5,4.5,3.4,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.5,0.0,0.5,0.0,3.0,1.0,5.0,1.0,2.0,0.0,9.0,5.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,0.023936170212765957,0.012096774193548387,0.02403846153846154,0.004807692307692308,0.015957446808510637,0.0,0.03609625668449198,0.02403846153846154,0.14097126328393234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14097126328393234,Porto,0,0
8,A49,2017/2018,7,3,72028,Masculino,Portugal,Portugal,Básico (3º ciclo),Porto,4.0,2.0,3.0,2.0,3.0,4.0,4.0,3.0,2.9,4.0,2.0,2.0,2.0,5.0,4.0,3.5,3.0,2.75,3.0,2.0,3.0,1.0,4.0,3.0,3.5,3.5,2.9,0.4,0.6,0.36363636363636365,1.0,0.25,1.0,0.5,1.0,0.2222222222222222,0.0,2.0,3.0,2.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,9.0,0.0,0.024193548387096774,0.014423076923076924,0.009615384615384616,0.0,0.0,0.0,0.004807692307692308,0.05303970223325062,0.0,0.0,0.0,0.0,0.007978723404255319,0.0,0.0,0.0,0.007978723404255319,0.06101842563750594,Porto,0,0
9,A49,2017/2018,7,3,92011,Feminino,Portugal,Portugal,Secundário,Porto,2.0,3.0,1.0,3.0,4.0,2.0,4.0,3.0,2.7,2.0,3.0,3.0,2.0,3.0,5.0,2.5,3.0,2.95,3.0,2.0,3.0,2.0,5.0,4.0,2.0,2.0,3.1,0.3,0.3,0.18181818181818182,1.0,0.125,1.0,0.125,1.0,0.0,1.0,1.0,0.0,2.0,1.0,2.0,3.0,3.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,16.0,0.007978723404255319,0.012096774193548387,0.0,0.009615384615384616,0.007978723404255319,0.015957446808510637,0.012032085561497326,0.014423076923076924,0.08008221491052853,0.0,0.0,0.0,0.004807692307692308,0.0,0.0,0.004010695187165776,0.004807692307692308,0.013626079802550392,0.09370829471307891,Porto,0,0
10,A49,2017/2018,7,1,22011,Masculino,Portugal,Portugal,Secundário,Porto,1.0,4.0,2.0,3.0,4.0,3.0,2.0,2.5,2.65,2.0,3.0,2.0,2.0,3.0,2.0,1.5,3.0,2.65,2.0,2.0,3.0,1.0,3.0,4.5,4.0,4.0,2.85,0.3,0.4,0.18181818181818182,1.0,0.125,1.0,0.25,0.5,0.1111111111111111,0.0,1.0,3.0,2.0,0.0,3.0,4.0,3.0,16.0,1.0,0.0,1.0,4.0,0.0,0.0,4.0,0.0,10.0,26.0,0.0,0.012096774193548387,0.014423076923076924,0.009615384615384616,0.0,0.023936170212765957,0.016042780748663103,0.014423076923076924,0.09053726361651591,0.007978723404255319,0.0,0.004807692307692308,0.019230769230769232,0.0,0.0,0.016042780748663103,0.0,0.04805996569137996,0.13859722930789586,Porto,0,0
